source_id,ra,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,dr2_radial_velocity,dr2_radial_velocity_error,l,b,ecl_lon
5969239285695308032,251.0156578509728,-39.52600399507169,0.9492316,5.42743623440067,1.7020607,-11.647765868469087,2.165852,-1.534557768309352,1.6864828,1.4274048,106.3666,20.328098,8.02378,20.801119,12.627622,19.246353,1.6091077,,,343.9993009184287,4.128269644698247,254.78115718685996
5969239354414766336,251.00626924760033,-39.53360287589079,0.8860983,6.140292500529642,1.2842046,-17.273154639814994,1.9359543,-9.403790885588311,1.4828504,2.121531,60.3493,20.254515,12.419115,20.454727,22.673523,18.78577,2.2312984,,,343.98879044673276,4.128801617513586,254.77472761510103
5969239698031640576,251.01605765153025,-39.47971186478227,0.01843545,5.647635178205196,0.03403802,-11.56492885450593,0.03840108,-21.573336239682323,0.02989464,1.3486693,1022.88336,14.769766,216.75336,16.14022,556.4153,13.579496,1.4651041,,,344.03468487219936,4.1582290845877115,254.77492251492916
5969239766731755648,251.00071539869433,-39.472578810896806,0.67796767,5.149860400465154,1.1884923,-13.292620501282123,1.6843889,3.1594394698737176,1.060878,1.283958,47.02767,20.268087,16.967318,20.395063,16.724434,18.851738,2.1966772,,,344.03236078444326,4.171858203421721,254.76164050725288
5969239766731755776,251.0009598861576,-39.47250192150109,0.9188438,6.022098271653542,2.1537442,15.54477348954397,1.970693,-23.036805874763484,1.5521026,1.1206193,54.824764,20.407492,123.33378,20.473906,9.48869,18.747107,2.6247122,,,344.03254265765753,4.1717653214211,254.7618251820581
5969231039355618688,251.0128731485266,-39.8297885213382,0.8430106,6.165226664460619,1.4782809,-11.031495965827853,1.7594258,-2.9542960759213566,1.4905804,1.1718823,131.91972,20.30401,,,,,,,,343.7670906441352,3.9317132974658877,254.8220300785277
5969231108075188096,251.006797755658,-39.823201902765,0.8274272,6.5718376231248135,1.6284237,-29.160226918439122,2.2131617,-17.297528157260093,1.5294423,1.1708933,101.70726,20.284369,5.6007886,20.732204,11.398634,18.71433,2.267523,,,343.7690418917332,3.939546817718161,254.81625003212625
5969231211147379072,251.04369505432848,-39.79405025336505,0.55571896,5.056786275964996,1.1358055,8.557633101166468,1.1051676,6.389838150115184,1.1583011,1.1895419,104.79168,19.860918,7.876484,20.345541,37.571117,18.01475,2.769152,,,343.80972279313113,3.9370823266408026,254.84153436579334
5969231348586575744,251.0090126333457,-39.788261280467594,0.67013747,4.625687476465795,1.7434723,-9.435269579609113,1.7365752,4.218197767294736,1.4979135,1.8282092,101.026146,20.029089,5.8140063,20.352777,29.544798,18.342806,2.527672,,,343.79669489342643,3.9610568837899294,254.81305101769482
5969231486025580416,251.0368849344156,-39.765204933942925,0.48549166,5.162267699708447,1.0651937,10.923945397068874,0.9897459,7.719670166718787,0.8382625,1.9584455,148.74178,19.766096,15.380947,20.415447,31.546236,18.21308,2.1583953,,,343.8282190513078,3.9598628921756127,254.83201115549616
5969232031479038592,251.07357722995053,-39.72314624284001,0.46343136,4.615272622137351,0.78324175,-23.41162736127389,0.9345986,-18.820242798376995,0.67830145,1.6374662,151.22205,19.628687,,,,,,,,343.8786236796631,3.9658971546800257,254.85533063322256
5969232997854886784,251.00748785709797,-39.69104549893357,0.49655306,6.262952620833718,1.1136159,-20.13239290996382,1.0989214,-12.56037343251032,0.82154095,1.5172504,83.88309,20.046623,14.322092,19.990616,20.755173,18.381565,2.7145119,,,343.86977884112406,4.025375796492763,254.79802945451414
5969233238375003648,251.1062256371497,-39.731453647161466,0.925645,4.698821823782727,1.7496781,-12.511694681310134,1.7515956,3.6579592065956037,1.3733809,2.195078,58.43073,20.18862,22.37846,20.24953,31.189913,18.322092,3.034328,,,343.8887117973496,3.9414385116021546,254.88256050727767
5969233341451569536,251.102616641939,-39.712547217181935,0.41218373,5.705971227869503,0.78199506,-10.495737461798692,0.79509676,3.584398461994552,0.6087556,2.276092,113.35636,19.360691,9.550694,19.655281,21.028383,17.928383,2.1273558,,,343.90127457233774,3.9558636167713317,254.8770092954615
5969233341459236480,251.10243210506863,-39.69922429289653,0.7064196,4.863187897866242,1.274353,-10.00388863732749,1.4777744,0.8428539394858124,1.1965582,1.2293749,86.81681,20.554642,7.8042326,21.023468,12.433474,19.31364,1.7910293,,,343.91131223941744,3.9646526040768313,254.87498003832678
5969233410202482048,251.14243509202643,-39.68920173702673,0.7980627,5.269767718281022,1.5429574,-16.671215725925595,2.034308,-10.328381603604036,1.4116814,1.4237669,123.6607,20.555767,,,,,,,,343.93903385733523,3.947827530169867,254.9055008207773
5969233616337322240,251.08596089945672,-39.685655997946334,1.0278896,11.07551643967263,2.0602112,-11.934474634393702,2.19737,4.960111043073598,2.5151453,1.1086819,74.24403,20.596008,3.6658585,20.979496,7.3900194,18.995644,2.3474684,,,343.9133492293062,3.983108166236862,254.8599136255828
5969236124598657024,251.0029693187574,-39.65701406826245,0.6300668,5.456122272003503,1.5052722,9.363783491589514,1.625067,-4.9961229819701645,1.3868039,1.4022536,107.38622,20.32662,33.697723,20.599285,1.0362257,18.328,3.2166896,,,343.89335830588993,4.050215269402376,254.7895918489621
5969237636427282944,251.01533245600638,-39.637087016127786,0.7275203,7.4128404932986145,1.9590895,-9.007419385271477,2.5270088,-5.511881850397335,1.618989,1.2301843,116.06156,20.505228,7.8865476,21.099173,21.431059,19.161825,1.8703401,,,343.9147244920183,4.0560010083469376,254.7966386026213
5969237666476228736,251.03108686377647,-39.61728002740636,0.72376865,5.010827865886518,1.459675,-10.036675836070623,2.2947826,-3.8698569299377397,1.3960829,0.92492855,100.76086,20.63383,,,,,,,,343.9377103952242,4.059722558343203,254.8064157541777
5969237808220309376,251.05203166398144,-39.600567497960675,0.8946615,8.674332157125285,1.8690904,-10.755115047548156,1.7706457,0.874475829768373,1.344351,2.3318467,89.314064,20.094664,12.263621,20.268589,38.236618,18.607267,2.2742927,,,343.96096139732725,4.0583868555610545,254.820783059168
5969427439581553408,251.00180251357995,-39.464660166533534,1.1164395,5.222132193535788,2.0280526,-8.514093723613538,2.2801714,-5.245313460039712,2.0500097,1.0458157,86.68348,20.781929,,,,,,,,344.03892742144234,4.176387768381702,254.76138850325393
5969238461054460672,251.0353435093384,-39.555004372577805,0.55599993,4.731984382478369,1.3310115,-7.594179510944897,1.0665455,-8.48130135792935,0.8388534,3.0903296,88.0575,19.513943,16.450903,19.188593,8.661386,17.627445,3.3708792,,,343.9871861627327,4.09784802621881,254.8009998231951
5969238667213145984,251.0415021086352,-39.52177091605347,0.4089905,4.523330228666073,0.7951037,-15.05102865122877,0.9068568,-9.179688568029444,0.64897245,1.2099822,138.40944,20.138037,12.584058,20.263113,13.531117,18.607237,2.3702843,,,344.01555252386197,4.115917255063879,254.801221493615
5969164725072786432,251.46792504709012,-39.98913233224181,0.03814387,4.864417291640717,0.069008164,-9.630160351313583,0.076127745,-22.47129148457845,0.06163099,1.0701041,1469.9269,16.845762,74.91938,18.332247,455.1442,15.652753,1.4474832,,,343.87335991971844,3.5629556643096567,255.2069941922294
5969166855330932096,251.30628824272105,-39.99905210672813,0.5377099,5.74571416530261,1.1297811,-15.592755692266628,0.99863815,-8.846611320549364,0.9277669,1.2599487,115.282394,19.930563,,,,,,,,343.7852422649696,3.650697870083206,255.07968650940998
5969166924096210560,251.29580248831604,-39.979079181312166,0.12436133,5.326674876575367,0.17862163,-18.909374875141605,0.50275457,-35.129805228082326,0.3350713,0.9476482,439.30246,17.73234,,,,,,,,343.79521816474016,3.669785754938931,255.06853712533572
5969167778768014336,251.36141433287432,-39.94321546568069,0.7238606,6.181941307517896,1.2205535,-25.673462929823362,1.8325564,-12.093998721300597,1.2569593,1.6419567,102.90512,20.275482,7.415472,20.808002,20.79388,18.875666,1.972132,,,343.8552787425044,3.6548608496235664,255.11577080773256
5969168126687176064,251.3970770075482,-39.943722264827734,0.7328694,5.468824654279434,1.6553923,-22.258038241224895,1.6672635,-16.05286286323298,1.2948847,1.951466,56.626022,20.0804,6.501041,20.24101,12.0653,18.475883,2.4705913,,,343.8726813469018,3.6337373158100474,255.14424880790375
5969168607678518016,251.34915485266774,-39.92264002283476,0.5620288,7.57609927683758,1.1480472,-30.953534557412958,1.379582,-24.073511909872874,1.0685295,1.646761,126.64643,19.943947,10.373969,20.34228,32.28732,18.692408,1.835492,,,343.8648373995338,3.675372411185074,255.1031294247042
5969168740813431808,251.30113235853412,-39.91416781855183,0.5522022,6.480113877249661,0.98029596,-35.894404371798245,1.3042696,-15.610520312342828,0.93101263,2.266773,86.6746,19.698557,6.210488,20.451057,40.75527,18.100197,2.1972947,,,343.84730952904386,3.7088741976930018,255.06368321216277
5969168848203635840,251.31297285870463,-39.91945201112998,0.9446006,7.5386322934207355,1.9913781,-11.290196811694019,2.6801426,4.170191032090011,1.917089,1.257012,85.65511,20.640505,7.4207225,21.427444,13.089704,18.880278,2.4809353,,,343.8491996784735,3.698538019207491,255.07385703983877
5969168848205437568,251.3090478961233,-39.903229851010245,0.6217325,4.543831988121091,1.1617203,-10.508786377958064,1.5938814,-7.801620287909173,1.2387689,1.1689659,105.94276,20.49692,5.358476,21.354362,22.232954,19.296286,1.6011598,,,343.85959426739583,3.7113686796800267,255.06845811851665
5969168916924895872,251.36603388586315,-39.91315050096182,0.6462246,5.5106638996121955,1.4360125,13.975634988478706,2.5303633,4.924564356830368,1.4250786,1.140065,81.94405,20.552845,5.984807,21.271816,6.778421,19.255476,1.7644689,,,343.8804930755699,3.6716918981361313,255.1152518996188
5969169157479279616,251.38705931221529,-39.87717120249841,0.8328041,5.1443854909309135,1.4798555,4.729956963740566,1.8901137,-13.006108560257559,1.3601266,1.9546944,63.10402,20.153515,4.8563538,20.222706,12.467936,18.70436,2.2795386,,,343.91840868710915,3.682784351734984,255.12698730680788
5969169260520560896,251.3299069120276,-39.888025281979345,0.77171135,4.544658365049459,1.9242493,-11.655521021153897,2.2463186,-7.325900604786678,1.6481887,1.0327214,55.742973,20.725586,3.7813122,21.092579,11.807713,19.094088,2.4087386,,,343.8815964096542,3.709084304056632,255.08295262945433
5969208808623292416,251.08243973035286,-39.983471449551125,0.037798773,5.475232242536259,0.07176089,-11.205794154189775,0.081821166,-20.841733285630497,0.0644875,1.0003906,1175.0658,16.551311,60.716415,18.378351,270.93967,15.233776,1.5513175,,,343.6852159553049,3.7910254116155264,254.89927359696702
5969208911674987520,251.10280464979445,-39.977842928124524,1.0984697,11.634098354612112,1.8715646,-5.352035717095679,2.4161694,-9.108997622647358,1.776179,1.0869635,91.32235,20.449532,,,,,,,,343.6996882887906,3.782861046564496,254.91469012566756
5969211449994860672,251.022055240968,-39.988756872896964,0.6583105,5.407453241508663,1.3856989,-9.214143467878536,1.6143799,-8.428815005072526,1.1697955,0.9757508,97.10217,20.521978,8.508729,21.009241,16.303614,19.373896,1.6748202,,,343.65095677944515,3.8226484600005683,254.8519499953399
5969211523042649856,251.00126596355074,-39.995504919532515,0.027047018,5.749859565598176,0.050073374,-10.842647337812892,0.060026985,-20.89274016052792,0.046444982,1.1383436,1485.1721,15.685382,112.865105,17.500254,958.49615,14.3951235,1.5176928,,,343.6354148069605,3.830312618985923,254.83636072716797
5969211935359518208,251.0813725563508,-39.936861270689185,0.028789835,5.602049310528768,0.05539102,-11.20752378489847,0.06431799,-21.669277335237517,0.047820233,0.9790834,1426.3768,15.961727,127.13632,17.801502,749.6205,14.676484,1.5082364,,,343.72010182355126,3.822033763682785,254.89181450666473
5969212038411891584,251.07991029885466,-39.924994207843135,0.53271,4.6142305617834944,1.0955933,-12.802523748455302,1.2391931,-1.673085674301666,0.90986073,1.0721599,121.19965,20.338778,9.63078,20.956388,23.092756,19.050138,1.7899345,,,343.72838755745886,3.830620777470082,254.88896743093792
5969212278956939776,251.04619807617158,-39.903889859158475,0.022584746,5.8003303392910714,0.042896185,-11.826625550925232,0.047026835,-21.67229552129197,0.038501423,1.0340825,1212.1346,15.480436,185.37878,17.236153,465.93744,14.214793,1.49436,,,343.7275238669571,3.8639862620566436,254.8591158611214
5969213034871187840,251.03799617629267,-39.8987583611083,0.19654569,5.388163732836521,0.37752807,-12.905210230295634,0.38193387,-22.812509671129817,0.3177946,3.1439662,323.99478,17.638279,31.382534,19.68982,217.11108,16.094015,1.8550996,,,343.7273087427463,3.8721027023557726,254.85185222300484
5969213339780694912,251.02707329116706,-39.864114523890755,0.5941119,6.276024645834989,1.2347504,-3.4037533494709127,1.3237597,-9.608604906531728,1.0991031,1.753783,145.85596,19.850607,12.2045765,20.856445,26.194212,18.654968,1.5532632,,,343.7481458511727,3.901055454539359,254.8382268646334
5969214031275390592,251.25203677002133,-39.96400344086037,0.59125876,6.60194054752622,1.2253683,-10.663690731114714,1.4302483,1.6768474192605858,0.9683724,1.3454834,114.28703,20.172777,,,,,,,,343.7848401729774,3.705070068065261,255.03156923198037
5969214031282833280,251.2478340369779,-39.95578250586093,0.92983377,4.709383897671242,1.5395418,-9.339911678963377,2.627609,4.130109279332059,1.6143749,1.0687553,80.66181,20.532715,,,,,,,,343.7889976349075,3.7128642222402974,255.0270666897991
5969214168714483840,251.2656757304639,-39.93199762149518,0.7516089,7.763057683137982,1.5715348,-13.431774240134306,2.6006374,-1.946725424741138,1.4345651,1.1983476,122.239876,20.558777,,,,,,,,343.816017964795,3.7179432561208703,255.03793648322386
5969214168721923584,251.27195930295554,-39.93868009916612,1.0636332,4.608239444587925,2.3768845,-11.54843671941794,2.8082678,-5.202350671716681,1.6322817,1.2810187,82.70013,20.672333,4.0305576,21.562483,15.9469795,19.676762,1.3724822,,,343.8140702693689,3.709937538038544,255.04387994384442
5969214443624480384,251.248585939271,-39.917579571030835,0.51119286,8.400603096400303,0.9776366,-24.931971990819896,1.2333771,-13.720157046006129,0.8439142,3.019266,123.19132,19.420149,24.132381,19.98174,39.505047,18.11312,1.8352343,,,343.8184515178987,3.7372758427893182,255.02229679449715
