       ID    ang_rad    ang_rad_e     feh
HD 173701      0.332        0.006    0.34
HD 175726      0.346        0.007   -0.07
HD 177153      0.289        0.006   -0.09
HD 181420      0.340        0.010    0.00
 HD182736      0.436        0.005   -0.15
 HD187637      0.231        0.006   -0.17
   GJ 15A      1.005        0.005   -0.36
    GJ 33      0.868        0.004   -0.22
   GJ 105      1.030        0.007   -0.08
  GJ 166A      1.504        0.006   -0.24
   GJ 205      0.943        0.004  -35.00
  GJ 338A      0.871        0.015   -0.18
  GJ 338B      0.856        0.016   -0.15
   GJ 380      1.225        0.009   -0.16
   GJ 411      1.432        0.013   -0.41
  GJ 412A      0.764        0.017   -0.40
   GJ 526      0.835        0.014   -0.30
   GJ 631      0.724        0.011    0.04
   GJ 687      0.859        0.014   -0.09
   GJ 699      0.952        0.005   -0.39
  GJ 702A      1.515        0.005    0.03
  GJ 702B      1.221        0.015    0.03
  GJ 725A      0.937        0.008   -0.49
  GJ 725B      0.851        0.015   -0.36
   GJ 809      0.722        0.008   -0.21
   GJ 880      0.744        0.004    0.06
   GJ 892      1.106        0.007    0.07
  HD 4614      1.623        0.004   -0.30
  HD 5015      0.846        0.010    0.00
  HD 6582      0.947        0.009   -0.83
 HD 10780      0.744        0.018    0.05
 HD 16895      1.078        0.008   -0.12
 HD 19373      1.217        0.007    0.09
 HD 20630      0.914        0.024    0.00
 HD 22484      1.056        0.014   -0.09
 HD 30652      1.488        0.004   -0.03
 HD 34411      0.958        0.015    0.05
 HD 39587      1.027        0.009   -0.16
 HD 48737      1.369        0.009    0.01
 HD 56537      0.824        0.013   -0.31
 HD 58946      0.837        0.013    0.06
 HD 81937      1.113        0.009   -0.12
 HD 82328      1.591        0.005    0.06
 HD 82885      0.800        0.012    0.20
 HD 86728      0.753        0.012   -0.16
 HD 90839      0.778        0.014    0.06
 HD 95418      1.133        0.014    0.20
 HD 97603      1.304        0.008   -0.16
HD 101501      0.887        0.009    0.06
HD 102870      1.396        0.006    0.00
HD 103095      0.679        0.005   -0.12
HD 109358      1.209        0.030    0.11
HD 114710      1.100        0.011   -1.36
HD 118098      0.840        0.009   -0.30
HD 126660      1.086        0.007   -0.06
HD 128167      0.824        0.013   -0.02
HD 131156      1.163        0.014   -0.14
HD 141795      0.756        0.017   -0.36
HD 142860      1.191        0.005   -0.33
HD 146233      0.763        0.017   -0.19
HD 162003      0.930        0.025   -0.02
HD 164259      0.761        0.027   -0.17
HD 173667      0.979        0.006   -0.14
HD 177724      0.883        0.016   -0.15
HD 182572      0.823        0.025   -0.68
HD 185144      1.219        0.011    0.33
HD 185395      0.845        0.015   -0.24
HD 210418      0.849        0.017   -0.04
HD 213558      0.625        0.021   -0.38
HD 215648      1.068        0.008   -0.24
HD 222368      1.059        0.009   -0.08
